"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1641.98314539816","1425.38674137997","839.572029875231","791.646996154285","855.081040948197","928.092496577322","989.642343225193","1031.0982588437","1116.90719223871","1166.18796165036","1249.61212926568","1385.04479407791","1582.05762167092","1815.78822447999","2018.4601408702","2312.98286133538","2636.256648197","3019.46556064022","3250.49861101145","2810.1928405123","2889.56622817115","3043.26278613609","3278.67044811176","3402.08385452333","3538.52939227858","3666.14182210905","3689.83008213399","3985.91669835177","4215.89939440524","4561.96779894751","4256.13122785453","4526.59748875832","5116.2057562728","",
"American Samoa","ASM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12804.4358444426","12980.7222956862","13105.1690778892","13136.4800805944","12690.5291104991","13029.6162843735","12795.0245577508","12378.1701945665","12532.3111237111","12656.6881389142","12247.6352882148","12098.2751505435","12494.9802110307","13101.5418159165","13116.4309769201","12442.8576653719","13049.3301536176","13288.3565565116","14214.6464600557","14464.8140504798","14969.0599426218","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","6085.88428023965","6331.73121593702","6813.66166099379","7337.95300358785","7595.99927114796","7571.58347191373","7956.13599290272","8771.04534898269","9487.06193514828","10632.4093908691","11400.1964373666","12064.0700813472","12766.7478251639","13215.2078153531","13437.915383951","13378.0993387617","13833.0686709689","14484.2869744677","13584.2734627796","14190.974300493","14669.0161913012","15076.3926044573","15370.8280861165","16055.953741155","15092.4692727315","15053.9662999109","15788.7402048433","16516.0866084157","17380.986016407","19341.3281500639","20854.062440673","20541.7533409403","17809.9326764468","16191.1567603688","15684.7813912039","15739.0348393989","15668.4355109479","15882.3092572073","15985.5411386971","16526.4361374728","16830.3962602848","17901.0409130559","18357.6788222183","14803.7695057464","15921.095120946","17335.047039518","",
"Australia","AUS","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","19904.9434051899","19997.2293980671","19767.6523268364","20597.6443090889","21607.2516491539","22455.045591957","22470.2684141992","23587.4082897201","24355.4115431335","25531.2884957127","26829.528618812","26975.445562896","27519.7226756501","27812.095991984","28230.7264719518","28257.9555119328","28700.285008013","29398.9998931648","29318.7118606228","30178.355711185","30717.7561435045","31251.7683092503","31735.9392297579","30608.2294425298","31631.6308918094","32860.6513130846","33673.193387005","34014.7198246465","35388.1303699477","36143.6352761194","36887.251664964","36280.9834612664","36030.4862484959","37155.9843147161","38264.3816178142","39309.9946645623","40336.2991458718","41463.6456612621","42966.7934047812","44636.024252846","45858.5800928021","46190.3812078014","47485.3410904497","48393.1367217128","49901.0152957826","50852.1612015639","51552.8938296061","52530.7018930125","53335.0057039403","53235.9235822531","53581.1585830189","54114.7261907858","55261.9183780127","55734.5743411489","56341.1341492724","56758.8692027821","57432.1802853452","57804.0509065758","58600.7903562771","59000.7354442453","58082.4265799182","59225.5245403582","60993.641250363","",
"Austria","AUT","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","12051.1511700385","12648.9746969392","12904.669883596","13352.6511315776","14076.2761631952","14471.8213231195","15181.5887613761","15521.8096470115","16132.0095204536","17085.3299659169","18101.9919477322","18943.1811467755","20002.5561105758","20864.8474583279","21650.4867976498","21629.0463028275","22659.317777419","23801.2675449624","23770.3662432365","25086.400193858","25520.74055574","25419.0096476102","25911.6609400039","26725.1907228527","26740.5772417596","27395.8726479906","28008.5545890344","28370.7178819139","29264.3235778252","30265.1932308117","31340.6812927165","32097.2410936755","32410.53977326","32313.7118722637","32962.8174189767","33790.4849857504","34537.7395746518","35220.8877426259","36442.2882333384","37664.9432792116","38842.8905195831","39184.8085972636","39636.4826114521","39815.2219533064","40651.2266155811","41281.2707559522","42496.3510516831","43937.7128905744","44440.055889928","42655.1921304813","43334.5089644691","44451.0001918473","44549.881698231","44299.3781845446","44245.1687398338","44195.8175947748","44590.2516278164","45281.723399938","46154.6250956541","46616.3591743242","43343.9718951136","44984.4197366909","46697.8565193913","",
"Azerbaijan","AZE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820.84010307402","2764.07399346223","2107.29678414183","1596.13266566318","1264.5271891937","1102.49789007407","1105.58724229428","1158.4816576176","1262.29188712613","1343.85593869878","1480.80869072436","1614.84885813475","1754.13524132991","1918.61103696953","2077.88527047339","2631.85145279408","3501.16482500603","4327.11360468848","4693.07707968116","5023.9672905028","5215.20415429496","5152.83850244744","5194.92091665083","5426.09594155961","5506.18169600319","5500.50364628486","5270.738165712","5229.7098898586","5262.36870473368","5348.45318851823","5083.56025445721","5345.43986445831","5590.00439551731","",
"Burundi","BDI","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","290.73323233318","244.593410172662","260.162382771694","265.339863440219","274.074490035551","277.187951460516","283.142082370667","314.293254465552","306.075142265822","295.263604618934","350.71277818515","351.87235066972","329.603111029518","353.073650613295","342.024209740745","336.217191788376","355.185953992377","386.191747952009","371.953871816733","369.187423940693","357.683134093718","385.29527839988","371.997224044867","375.677006365419","367.266232607122","401.767206808135","407.117326369354","419.8560539724","431.437298111009","428.971415336034","435.070943030531","447.74485725565","440.59185674793","427.068997987238","408.419316193019","354.116180883601","325.911916363427","321.089690695961","330.128930687301","319.13580076384","310.006710937075","308.645199045727","313.486405879893","300.086152973384","303.119670015727","294.738773386661","299.769120820711","298.936660421865","300.841349240995","296.847094871617","297.79172709311","299.017175665192","301.481319294821","305.29083523866","307.765531301255","289.359627206129","282.975966580511","277.959803051524","274.131908470855","270.137277397711","263.360988689031","264.364832923386","262.184804661142","",
"Belgium","BEL","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","11734.306170839","12277.6347194523","12866.2287658556","13326.1132693154","14118.902318486","14489.4450965924","14846.0973473565","15334.7678862416","15915.1956538995","16922.3543777831","17849.4947135456","18527.1487401867","19432.03103295","20607.1809135777","21480.261317053","20997.2068325293","22144.5236139589","22255.6844094244","22866.8232310329","23381.1272443226","24393.2981775195","24325.8132752066","24477.1998826276","24555.480969759","25161.4909793831","25569.4893301131","26026.2804981502","26603.9280981301","27772.0520454683","28631.3190930238","29441.6621481593","29870.1477747077","30204.5637515713","29797.4063198776","30664.3078546408","31329.892072751","31681.9363634502","32804.3605402361","33376.5748398965","34479.9064484695","35674.7912530713","35943.2379602838","36393.2417665704","36617.3803840227","37761.2813189981","38426.0519083731","39147.7635597291","40290.2277563956","40151.8498740394","39025.2207908291","39777.9252767366","39929.0951439359","39975.5736402458","39970.3174974794","40421.4207919096","41008.296719472","41318.0196388476","41825.7628316432","42382.3182763247","43098.4750626966","40655.5571522973","43262.4315898987","44184.6852868064","",
"Benin","BEN","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","657.21894149189","667.519708604409","634.185933002899","652.908959849862","684.006879033674","706.995675875472","718.412241856919","712.090360993582","724.801236685872","730.561746855489","730.523347660338","704.458103043776","733.570984360391","744.028810804756","751.663718572799","698.485150741883","688.039909695765","704.787862504989","695.880995411096","722.399496351719","750.960006875069","803.165084045435","798.268239517308","742.119327170876","778.291448342773","812.948320289204","806.540433864715","771.161155410528","773.846974425056","729.408784018937","771.075863965365","779.42330901907","778.255268210287","787.819118694945","774.262921871835","804.350332973378","817.849735178736","839.951696664462","847.074487472915","865.452562467544","888.730184630456","908.347702993924","922.417638739897","925.849261137374","938.038178110099","924.269524085128","931.769140879746","959.554993466476","977.303163181215","970.965968934136","962.81610952575","962.744589699526","980.074613212475","1020.5282340508","1054.10876660988","1041.65252315983","1045.15093657582","1072.36203200121","1111.22724747423","1153.72620998083","1164.70896658459","1214.07758989944","1255.60729259081","",
"Burkina Faso","BFA","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","243.93050553735","250.156278096897","261.624327159299","254.473938037947","256.312297704053","261.742461386161","258.889877358887","277.09131210927","280.780249418058","281.606365864714","277.11683082762","276.300448128691","277.939872872338","274.346713995435","291.630502933277","294.487871813323","312.92757805184","306.9005644689","313.173820458861","316.370110831912","310.472576927602","315.01634272242","335.801318227933","327.595560472876","312.624170042132","329.56999374725","345.877431420371","335.766934588318","345.848563198923","344.090366511405","333.171594848128","354.321888397381","346.507269030771","349.701976103549","345.48170262854","355.987941108887","385.229199903974","399.184999776656","416.741699695686","434.658392235177","429.847372221369","444.549754885185","449.853931204666","470.129582544017","476.009980870819","501.207250155342","516.176767669085","521.345259206121","535.583644683452","535.516834528107","563.926776717482","583.679477111581","602.786758836388","618.804583232191","626.626250796789","632.12668582235","650.417260900551","671.251796273706","696.044570830807","714.646000052737","709.057750116834","738.418660149","732.570323403893","",
